Gene ID	GO	KO
GFH14590	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14590" target="_blank">GFH14590</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000813" target="_blank">ESCRT I complex (GO:0000813)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0032509" target="_blank">endosome transport via multivesicular body sorting pathway (GO:0032509)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12184" target="_blank">K12184</a>
GFH14594	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14594" target="_blank">GFH14594</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0019752" target="_blank">carboxylic acid metabolic process (GO:0019752)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016831" target="_blank">carboxy-lyase activity (GO:0016831)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01580" target="_blank">K01580</a>
GFH14612	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14612" target="_blank">GFH14612</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a>	
GFH14617	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14617" target="_blank">GFH14617</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	
GFH14619	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14619" target="_blank">GFH14619</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0051536" target="_blank">iron-sulfur cluster binding (GO:0051536)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008080" target="_blank">N-acetyltransferase activity (GO:0008080)</a>	
GFH14644	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14644" target="_blank">GFH14644</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01285" target="_blank">K01285</a>
GFH14645	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14645" target="_blank">GFH14645</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01285" target="_blank">K01285</a>
GFH14646	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14646" target="_blank">GFH14646</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008236" target="_blank">serine-type peptidase activity (GO:0008236)</a>	
GFH14649	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14649" target="_blank">GFH14649</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01870" target="_blank">K01870</a>
GFH14655	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14655" target="_blank">GFH14655</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009916" target="_blank">alternative oxidase activity (GO:0009916)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17893" target="_blank">K17893</a>
GFH14660	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14660" target="_blank">GFH14660</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016020" target="_blank">membrane (GO:0016020)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004571" target="_blank">mannosyl-oligosaccharide 1,2-alpha-mannosidase activity (GO:0004571)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K23741" target="_blank">K23741</a>
GFH14668	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14668" target="_blank">GFH14668</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004252" target="_blank">serine-type endopeptidase activity (GO:0004252)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH14670	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14670" target="_blank">GFH14670</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006694" target="_blank">steroid biosynthetic process (GO:0006694)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003854" target="_blank">3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050662" target="_blank">coenzyme binding (GO:0050662)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07748" target="_blank">K07748</a>
GFH14674	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14674" target="_blank">GFH14674</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009190" target="_blank">cyclic nucleotide biosynthetic process (GO:0009190)</a>	
GFH14676	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14676" target="_blank">GFH14676</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0043565" target="_blank">sequence-specific DNA binding (GO:0043565)</a>	
GFH14678	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14678" target="_blank">GFH14678</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030286" target="_blank">dynein complex (GO:0030286)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007017" target="_blank">microtubule-based process (GO:0007017)</a>	
GFH14679	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14679" target="_blank">GFH14679</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006334" target="_blank">nucleosome assembly (GO:0006334)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11279" target="_blank">K11279</a>
GFH14680	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14680" target="_blank">GFH14680</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016624" target="_blank">oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030976" target="_blank">thiamine pyrophosphate binding (GO:0030976)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016114" target="_blank">terpenoid biosynthetic process (GO:0016114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008661" target="_blank">1-deoxy-D-xylulose-5-phosphate synthase activity (GO:0008661)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00161" target="_blank">K00161</a>
GFH14686	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14686" target="_blank">GFH14686</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006397" target="_blank">mRNA processing (GO:0006397)</a>	
GFH14697	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14697" target="_blank">GFH14697</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009538" target="_blank">photosystem I reaction center (GO:0009538)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009522" target="_blank">photosystem I (GO:0009522)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015979" target="_blank">photosynthesis (GO:0015979)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02699" target="_blank">K02699</a>
GFH14705	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14705" target="_blank">GFH14705</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a>	
GFH14706	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14706" target="_blank">GFH14706</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006568" target="_blank">tryptophan metabolic process (GO:0006568)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004640" target="_blank">phosphoribosylanthranilate isomerase activity (GO:0004640)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01817" target="_blank">K01817</a>
GFH14717	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14717" target="_blank">GFH14717</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005509" target="_blank">calcium ion binding (GO:0005509)</a>	
GFH14718	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14718" target="_blank">GFH14718</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006164" target="_blank">purine nucleotide biosynthetic process (GO:0006164)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004643" target="_blank">phosphoribosylaminoimidazolecarboxamide formyltransferase activity (GO:0004643)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003937" target="_blank">IMP cyclohydrolase activity (GO:0003937)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00602" target="_blank">K00602</a>
GFH14722	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14722" target="_blank">GFH14722</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0000079" target="_blank">regulation of cyclin-dependent protein serine/threonine kinase activity (GO:0000079)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0019901" target="_blank">protein kinase binding (GO:0019901)</a>	
GFH14724	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14724" target="_blank">GFH14724</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005840" target="_blank">ribosome (GO:0005840)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006412" target="_blank">translation (GO:0006412)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003735" target="_blank">structural constituent of ribosome (GO:0003735)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02866" target="_blank">K02866</a>
GFH14726	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14726" target="_blank">GFH14726</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	
GFH14727	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14727" target="_blank">GFH14727</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH14731	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14731" target="_blank">GFH14731</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
GFH14732	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14732" target="_blank">GFH14732</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a>	
GFH14734	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14734" target="_blank">GFH14734</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a>	
GFH14735	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14735" target="_blank">GFH14735</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016811" target="_blank">hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides (GO:0016811)</a>	
GFH14740	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14740" target="_blank">GFH14740</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006096" target="_blank">glycolytic process (GO:0006096)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004618" target="_blank">phosphoglycerate kinase activity (GO:0004618)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00927" target="_blank">K00927</a>
GFH14760	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14760" target="_blank">GFH14760</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH14764	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14764" target="_blank">GFH14764</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH14765	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14765" target="_blank">GFH14765</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH14776	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14776" target="_blank">GFH14776</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006355" target="_blank">regulation of transcription, DNA-templated (GO:0006355)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003700" target="_blank">DNA-binding transcription factor activity (GO:0003700)</a>	
GFH14780	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14780" target="_blank">GFH14780</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008299" target="_blank">isoprenoid biosynthetic process (GO:0008299)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004421" target="_blank">hydroxymethylglutaryl-CoA synthase activity (GO:0004421)</a>	
GFH14781	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14781" target="_blank">GFH14781</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016787" target="_blank">hydrolase activity (GO:0016787)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03574" target="_blank">K03574</a>
GFH14784	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14784" target="_blank">GFH14784</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01897" target="_blank">K01897</a>
GFH14787	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14787" target="_blank">GFH14787</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003824" target="_blank">catalytic activity (GO:0003824)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01687" target="_blank">K01687</a>
GFH14788	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14788" target="_blank">GFH14788</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008081" target="_blank">phosphoric diester hydrolase activity (GO:0008081)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K18696" target="_blank">K18696</a>
GFH14794	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH14794" target="_blank">GFH14794</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K01881" target="_blank">K01881</a>
